                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.8414,                 1.4192,                   2.07,                0.93631,                0.66667,                0.78868,                0.41767,                 1.7236,                 1.3091,                 1.8418,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8197,                 1.3566,                 1.9422,                0.90656,                0.66667,                0.81946,                0.43562,                 1.6758,                 1.3154,                 1.8126,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7915,                 1.3694,                 1.9794,                0.66172,                0.79167,                0.80182,                0.42407,                 1.6556,                 1.2998,                 1.8054,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7984,                 1.4654,                 1.9867,                0.75713,                0.66667,                0.70836,                0.39017,                 1.7656,                  1.443,                 1.8557,                0.00101,                0.00101,                0.00101
                     52,                 1.7968,                 1.3997,                 2.0337,                0.76049,                0.79386,                 0.8069,                 0.4535,                 1.6727,                 1.2127,                 1.8436,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7236,                 1.3543,                 2.0053,                0.76503,                0.79167,                0.83474,                0.45117,                 1.6545,                 1.1821,                 1.8416,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7265,                 1.3594,                 1.9994,                0.89853,                0.70833,                0.82908,                0.43311,                 1.5957,                 1.2981,                 1.7924,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.764,                 1.3826,                 1.9297,                  0.899,                   0.75,                0.85631,                0.46574,                 1.6107,                  1.182,                  1.695,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7636,                 1.4079,                 2.0108,                0.90464,                0.79058,                0.89964,                0.48023,                 1.6097,                 1.1763,                 1.7151,               0.000911,               0.000911,               0.000911
                     57,                 1.6615,                 1.2803,                 1.9396,                0.75617,                 0.6466,                 0.7177,                0.34714,                 1.8672,                 1.2901,                 1.9463,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.736,                 1.3717,                 1.9566,                0.85296,                0.72559,                0.79718,                0.42838,                 1.7801,                 1.1796,                 1.8735,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7385,                 1.3663,                 1.9774,                0.94992,                0.79043,                0.85029,                0.46504,                 1.6612,                 1.1013,                 1.7863,              0.0008516,              0.0008516,              0.0008516
